player_name,avg_swing_length,avg_bat_speed,woba_value,cluster
"Abrams, CJ",7.365126219312603,70.22453296873158,0.36517571884984024,0
"Abreu, José",6.994067443181819,71.23218400801136,0.17766990291262136,0
"Abreu, Wilyer",7.3217060638297875,72.818640654,0.36225490196078436,1
"Acuña Jr., Ronald",7.51282717877095,74.58004429424581,0.32980295566502466,1
"Adames, Willy",8.087973343605546,72.58063810781202,0.32258522727272726,1
"Adams, Riley",8.122531098265895,73.6859827965607,0.27440476190476193,1
"Adell, Jo",7.637608466257668,74.84940625102249,0.28698347107438016,1
"Adrianza, Ehire",6.791878958333334,62.420338125125,0.253448275862069,2
"Ahmed, Nick",7.242778228346457,65.67305128829527,0.28308823529411764,3
"Albies, Ozzie",7.239307467320262,67.8399832547549,0.30357142857142855,3
"Alexander, Blaze",7.188847785016287,70.95117740403583,0.3163690476190476,0
"Alexander, CJ",8.570017142857143,73.58431366428572,0.0,1
"Allen, Nick",6.450569574468084,62.28813495946808,0.21562499999999998,2
"Alonso, Pete",7.266391462522852,73.44206371104204,0.3516417910447761,1
"Altuve, Jose",7.781475706896551,66.75248793095517,0.36096491228070177,3
"Alvarez, Armando",6.64215909090909,65.57192292954545,0.42058823529411765,3
"Alvarez, Francisco",6.994492802547771,71.79702185987261,0.37376237623762376,1
"Alvarez, Yordan",7.4950870633397315,74.67459331857965,0.395141065830721,1
"Amador, Adael",7.167934927536232,67.78028317092753,0.2041666666666667,3
"Amaya, Jacob",6.77506,68.087740485,0.0,3
"Amaya, Miguel",6.950969203539823,70.71486241445427,0.2355191256830601,0
"Anderson, Brian",7.8539900000000005,71.760035535,0.0,1
"Anderson, Tim",7.137980293453724,67.80757026268623,0.21357466063348418,3
"Andujar, Miguel",7.669183580246913,70.09172399592593,0.32296296296296295,0
"Aranda, Jonathan",7.150434835164835,66.9878056134066,0.2803921568627451,3
"Arcia, Orlando",7.84126781496063,69.33166058750001,0.24655172413793103,0
"Arenado, Nolan",8.181063783269963,67.86397556214828,0.32259136212624584,3
"Arias, Gabriel",7.48386119205298,72.5405860594702,0.29131944444444446,1
"Arozarena, Randy",7.261287096774193,70.06168378102467,0.291025641025641,0
"Arraez, Luis",5.824263537037037,61.27742490618889,0.3325214899713467,2
"Azocar, José",6.7988528666666666,67.01431694079334,0.2295774647887324,3
"Baddoo, Akil",7.5610091,67.9350306277,0.2472222222222222,3
"Bader, Harrison",6.986504712041884,69.220037816178,0.3247863247863248,0
"Bae, Ji Hwan",6.593142291666666,67.197815324375,0.26153846153846155,3
"Bailey, Patrick",7.259755702479338,69.79386826479339,0.34261904761904766,0
"Barger, Addison",7.743240326086957,74.41095989826087,0.17549019607843136,1
"Barnes, Austin",6.189042269503545,65.27199672531916,0.23544303797468355,3
"Barnhart, Tucker",7.2222859124087595,64.37874366841606,0.2413978494623656,2
"Barrosa, Jorge",7.432725555555556,64.65537977666666,0.1,3
"Bart, Joey",7.257163963963964,70.42516957501802,0.3655405405405405,0
"Batten, Matthew",7.20747,68.3727229375,0.5333333333333333,3
"Baty, Brett",7.397534295302013,70.1550394517953,0.2876582278481013,0
"Bauers, Jake",7.428718064516129,72.13295102152493,0.32094240837696336,1
"Bañuelos, David",7.47323,67.36154598,0.0,3
"Beck, Jordan",7.591013803680982,69.50723855766871,0.23625,0
"Bell, Josh",7.832343839285714,69.38362292916072,0.30340557275541796,0
"Bellinger, Cody",7.6730155298651255,68.46370670905588,0.3332179930795848,0
"Benintendi, Andrew",6.4636653623188405,65.40896077461112,0.2515151515151515,3
"Benson, Will",7.771966488222699,70.0516643792848,0.2721774193548387,0
"Berti, Jon",7.150623452380953,68.61848715440476,0.31428571428571433,0
"Bethancourt, Christian",7.247621775147929,69.0915534173077,0.2237179487179487,0
"Betts, Mookie",6.820981935483871,67.24658881828785,0.35956375838926175,3
"Bichette, Bo",7.199304236947791,68.81918072172691,0.2824468085106383,0
"Biggio, Cavan",6.700736226415095,63.167559879811314,0.274,2
"Black, Tyler",6.98698231884058,67.76867889463767,0.28157894736842104,3
"Blackmon, Charlie",7.050798503740648,65.89541209822943,0.3181434599156118,3
"Blanco, Dairon",7.222036802721089,70.1550892389796,0.2898809523809524,0
"Bleday, JJ",7.154931040145986,70.23054344885766,0.3321981424148607,0
"Bliss, Ryan",6.377348252427184,66.19395740456311,0.30887096774193545,3
"Bogaerts, Xander",7.254118945454546,68.94386249974546,0.2605882352941176,0
"Bohm, Alec",7.353183206106871,71.4875049897519,0.3673134328358209,0
"Bote, David",7.7066485714285715,71.53789370928571,0.30624999999999997,0
"Bouchard, Sean",7.12632917721519,69.44489972927215,0.3161764705882353,0
"Bregman, Alex",6.978225992217899,69.63531698937743,0.3201538461538461,0
"Brennan, Will",6.695170661577608,67.08971753908396,0.32914691943127966,3
"Bride, Jonah",7.216354,67.994609936,0.15625,3
"Brooks, Trenton",7.004595111111111,61.98133265088889,0.1896551724137931,2
"Brown, Seth",7.195763965517242,71.66894409727794,0.26536312849162014,0
"Bruján, Vidal",6.8448384,64.49697867523636,0.2993377483443709,2
"Bryant, Kris",7.911132653061225,68.85916197693878,0.3105882352941176,0
"Burger, Jake",7.312419637188208,73.28596660185941,0.26142241379310344,1
"Burleson, Alec",7.330925146771037,69.20529719344032,0.352059925093633,0
"Busch, Michael",7.142900144329897,67.75631263486598,0.3630681818181818,3
"Butler, Lawrence",7.022191681034483,72.80545343439655,0.25639097744360906,1
"Buxton, Byron",8.10023952718676,73.08285331770685,0.3309954751131222,1
